csv_line_id,element_id,thematic_surface,parent_id,element_gml_id,has_holes,related_to,geometry_wkt,construction_gmlid
82,70,party_wall,65,afc7f1c2-f276-4c1b-8630-eefd10b2c392,False,[114],"MULTIPOLYGON Z (((-57.123 16.708 3.052, -57.123 16.708 6.657, -60.675 16.641 6.657, -60.675 16.641 3.052, -57.123 16.708 3.052)))",LayeredConstr_id_0009
83,71,external,65,18d2f526-71dc-4ec1-bf20-cd4521d118d5,False,[],"MULTIPOLYGON Z (((-60.675 16.641 6.657, -60.762 22.612 6.657, -60.762 22.612 3.052, -60.675 16.641 3.052, -60.675 16.641 6.657)))",LayeredConstr_id_0118
84,72,external,65,debde022-c660-44bc-a9e0-a150c1afc746,False,[],"MULTIPOLYGON Z (((-60.762 22.612 6.657, -53.79 22.691 6.657, -53.79 22.691 3.052, -60.762 22.612 3.052, -60.762 22.612 6.657)))",LayeredConstr_id_0116
85,72,external_with_hole,65,debde022-c660-44bc-a9e0-a150c1afc746,True,[],"MULTIPOLYGON Z (((-53.79 22.691 6.657, -53.79 22.691 3.052, -60.762 22.612 3.052, -60.762 22.612 6.657, -53.79 22.691 6.657), (-54.037002279891865 22.688201207671906 5.835, -54.037002279891865 22.688201207671906 4.572, -60.609996853976725 22.61372235349051 4.572, -60.609996853976725 22.61372235349051 5.835, -54.037002279891865 22.688201207671906 5.835)))",LayeredConstr_id_0116
86,74,party_wall,65,15f65c29-dda0-4747-8f71-9780c55ca06c,False,[58],"MULTIPOLYGON Z (((-53.79 22.691 3.052, -53.79 22.691 6.657, -53.783 22.169 6.657, -53.783 22.169 3.052, -53.79 22.691 3.052)))",LayeredConstr_id_0014
87,75,party_wall,65,c6928bee-d6cf-4616-9d2a-ee953f8b70dc,False,[57],"MULTIPOLYGON Z (((-53.783 22.169 3.052, -53.783 22.169 6.657, -53.567 22.172 6.657, -53.567 22.172 3.052, -53.783 22.169 3.052)))",LayeredConstr_id_0014
88,76,party_wall,65,92b79d00-da5e-48cf-b8be-2e22e6e0de48,False,[155],"MULTIPOLYGON Z (((-53.567 22.172 3.052, -53.567 22.172 6.657, -53.511 19.836 6.657, -53.511 19.836 3.052, -53.567 22.172 3.052)))",LayeredConstr_id_0013
89,77,party_wall,65,98d49ec0-8768-4847-ade4-72e15d2f0ead,False,[146],"MULTIPOLYGON Z (((-53.511 19.836 6.657, -53.47 18.173 6.657, -53.47 18.173 3.052, -53.511 19.836 3.052, -53.511 19.836 6.657)))",LayeredConstr_id_0013
90,78,party_wall,65,65a3cbfb-d702-41c6-bcdd-4a722bcbaa48,False,[122],"MULTIPOLYGON Z (((-53.47 18.173 3.052, -53.47 18.173 6.657, -53.428 16.426 6.657, -53.428 16.426 3.052, -53.47 18.173 3.052)))",LayeredConstr_id_0013
91,79,party_wall,65,afc68292-cc9e-4537-86ac-657828d86584,False,[44],"MULTIPOLYGON Z (((-53.428 16.426 3.052, -53.428 16.426 6.657, -55.633 16.397 6.657, -55.633 16.397 3.052, -53.428 16.426 3.052)))",LayeredConstr_id_0014
92,81,ceiling,65,288ae559-68bb-4da9-baba-ee2a05e2c1f0,False,[],"MULTIPOLYGON Z (((-55.633 16.397 6.657, -53.428 16.426 6.657, -53.47 18.173 6.657, -53.511 19.836 6.657, -53.567 22.172 6.657, -53.783 22.169 6.657, -53.79 22.691 6.657, -60.762 22.612 6.657, -60.675 16.641 6.657, -57.123 16.708 6.657, -57.087 13.498 6.657, -55.572 13.498 6.657, -55.633 16.397 6.657)))",LayeredConstr_id_0108
93,80,floor,65,4d32da21-e0a6-4eb6-bc52-bf3d7cf87ae6,False,[],"MULTIPOLYGON Z (((-55.633 16.397 3.052, -55.572 13.498 3.052, -57.087 13.498 3.052, -57.123 16.708 3.052, -60.675 16.641 3.052, -60.762 22.612 3.052, -53.79 22.691 3.052, -53.783 22.169 3.052, -53.567 22.172 3.052, -53.511 19.836 3.052, -53.47 18.173 3.052, -53.428 16.426 3.052, -55.633 16.397 3.052)))",LayeredConstr_id_0109
94,69,door,68,87051962-3009-4145-9d76-7e45cbb74d1e,True,[116],"MULTIPOLYGON Z (((-57.102 14.81 3.786, -57.093 14.027 3.786, -57.093 14.027 5.862, -57.102 14.81 5.862, -57.102 14.81 3.786)))",
95,73,window,72,a1438386-36ce-478f-aa5c-4f05ec772db0,True,[],"MULTIPOLYGON Z (((-54.037 22.688 4.572, -60.61 22.614 4.572, -60.61 22.614 5.835, -54.037 22.688 5.835, -54.037 22.688 4.572)))",LayeredConstr_id_0106
96,82,room,0,922cd7d3-4244-4da9-925c-9a8f80ab97d7,,[],,
97,83,external,82,fc9e0cdc-b1f0-4fda-9cbe-29f2313ec741,False,[],"MULTIPOLYGON Z (((-53.612 6.403 6.657, -53.716 13.593 6.657, -53.716 13.593 3.052, -53.612 6.403 3.052, -53.612 6.403 6.657)))",LayeredConstr_id_0117
